Name,BodyweightKg,TotalKg,WeightClassKg,Federation,Date,MeetName
gianluca de cola,73.85,697.5,74,EPF,2016-05-11,european powerlifting championships
gianluca de cola,82.76,755.0,83,EPF,2017-09-14,western european championships
gianmario gorga,118.3,840.0,120,IPF,2014-09-01,world sub-juniors & juniors powerlifting championships
gianmario gorga,133.8,897.5,120+,IPF,2015-08-31,world sub-juniors & juniors powerlifting championships
gil pinheiro,90.09,852.5,93,EPF,2011-05-03,european powerlifting championships
gilbert arriaga,104.57,757.5,105,IPF,2019-08-26,world juniors & sub-juniors championships
gilles herit,81.66,677.5,83,EPF,2011-07-05,european masters powerlifting championships
gintaras blėdis,65.26,642.5,66,IPF,2022-11-14,world open equipped powerlifting championships
gintaras blėdis,73.63,680.0,74,EPF,2024-05-07,european open junior and sub-junior equipped powerlifting championships
giovanni mancinelli,117.3,890.0,120,EPF,2024-09-13,western european powerlifting championships
giovannino pinna,81.7,760.0,83,EPF,2024-09-13,western european powerlifting championships
giuseppe battisti,102.14,712.5,105,IPF,2017-10-01,world masters powerlifting championships
giuseppe manca,84.87,737.5,93,EPF,2014-09-11,western european powerlifting championships
glen blackklock,82.65,607.5,83,EPF,2013-07-09,european masters powerlifting championships
glen cormier,82.42,692.5,83,IPF,2011-09-26,world masters powerlifting championships
glyn moore,73.88,600.0,74,IPF,2011-09-26,world masters powerlifting championships
go suzuki,65.48,712.5,66,IPF,2016-11-14,world open championships
go suzuki,73.45,797.5,74,IPF,2023-11-13,world open equipped powerlifting championships
go suzuki,73.7,802.5,83,IPF,2022-07-08,world games
goki arai,71.9,515.0,74,IPF,2018-09-03,world juniors & sub-juniors championships
goki omuro,82.42,632.5,83,IPF,2013-08-27,world juniors & sub-juniors championships
gordon chenkie,93.66,615.0,105,IPF,2013-09-24,world masters powerlifting championships
gracjan pieper,100.71,665.0,105,EPF,2023-05-02,european equipped powerlifting championships
gracjan pieper,105.5,785.0,120,EPF,2024-05-07,european open junior and sub-junior equipped powerlifting championships
gracjan pieper,90.9,575.0,93,EPF,2022-05-03,european powerlifting championships
graham green,99.7,695.0,105,IPF,2019-10-07,world masters powerlifting championships
grant sugarman,80.96,570.0,83,EPF,2024-05-01,european equipped masters powerlifting championships
greg page,73.89,697.5,74,IPF,2013-09-24,world masters powerlifting championships
greg simmons #2,65.96,605.0,66,IPF,2011-09-26,world masters powerlifting championships
gregory guambo,80.91,620.0,83,IPF,2017-08-28,world sub-juniors & juniors powerlifting championships
gregory johnson,104.21,942.5,105,IPF,2017-11-13,world powerlifting championships
gregory johnson,92.06,909.0,93,IPF,2022-11-14,world open equipped powerlifting championships
gregory kleyn,81.82,600.0,83,IPF,2012-10-02,world masters powerlifting championships
gregory pearson,79.8,822.5,83,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
grigorii dudarev,92.3,695.0,93,IPF,2021-08-23,world juniors sub-juniors & masters championships
groen thorsen henning,123.85,542.5,120+,IPF,2019-10-07,world masters powerlifting championships
grzegorz gwiazdoń,65.82,407.5,66,EPF,2017-05-08,european equipped powerlifting championships
grzegorz sidorowicz,94.1,585.0,105,IPF,2014-09-01,world sub-juniors & juniors powerlifting championships
grégory ostyn,73.9,740.0,74,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
grégory ostyn,82.56,745.0,83,IPF,2023-08-24,world junior and sub-junior equipped championships
guan-ting ke,140.5,835.0,120+,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
gudfinnur karlsson,85.6,282.5,93,IPF,2024-11-11,world open equipped powerlifting championships
guenther wagenleitner,95.06,400.0,105,IPF,2016-10-03,world masters championships
guido nieland,92.33,722.5,93,EPF,2019-07-03,european masters championships
gumendra shewdas,51.66,475.0,53,IPF,2013-08-27,world juniors & sub-juniors championships
gunnar enkel,115.82,595.0,120,EPF,2017-07-11,european masters championships
gunnar enkel,120.46,600.0,120+,EPF,2018-07-03,european masters championships
gustav waidmann,90.91,605.0,93,EPF,2014-07-08,european masters powerlifting championships
guðfinnur snær magnússon,119.62,740.0,120,IPF,2015-08-31,world sub-juniors & juniors powerlifting championships
guðfinnur snær magnússon,171.45,1057.5,120+,IPF,2024-11-11,world open equipped powerlifting championships
györgy lovasz,104.23,670.0,105,EPF,2012-07-17,european masters powerlifting championships
gérald sertelet,72.66,547.5,74,IPF,2015-09-28,world masters powerlifting championships
gérard ivars,89.63,640.0,93,EPF,2016-07-12,european masters powerlifting championships
göran andersson,118.29,640.0,120,EPF,2012-07-17,european masters powerlifting championships
göran andersson,130.35,735.5,120+,IPF,2014-09-21,world masters powerlifting championships
günter koovit,134.78,790.0,120+,EPF,2017-07-11,european masters championships
günter lüdecke,82.67,582.5,83,EPF,2014-07-08,european masters powerlifting championships
günter lüdecke,84.75,547.5,93,IPF,2018-10-02,world masters powerlifting championships
haif martinez,52.97,467.5,53,IPF,2011-08-30,world sub-juniors & juniors powerlifting championships
hal malone,82.35,425.0,83,IPF,2023-10-08,world masters classic & equipped powerlifting championships
halldór eyþórsson,81.89,637.5,83,EPF,2012-07-17,european masters powerlifting championships
handy zambrano,82.03,852.5,83,IPF,2022-11-14,world open equipped powerlifting championships
hannes haase,82.12,740.0,83,EPF,2019-05-04,european equipped powerlifting championships
hannu hakala,82.51,655.0,83,EPF,2014-07-08,european masters powerlifting championships
hannu kopola,92.87,795.0,93,IPF,2011-11-08,world powerlifting championships
hans leeuwenhaag,103.42,600.0,105,EPF,2012-07-17,european masters powerlifting championships
hans magne bårtvedt,168.7,1110.0,120+,IPF,2015-11-09,world powerlifting championships
hans ring,117.04,635.0,120,EPF,2013-07-09,european masters powerlifting championships
hans ring,120.72,640.0,120+,IPF,2017-10-01,world masters powerlifting championships
hans-erik folkeseth,69.2,617.5,74,EPF,2011-06-11,european junior & sub-junior powerlifting championships
hans-peter falk,109.5,680.0,120,EPF,2012-07-17,european masters powerlifting championships
harald morten haug,116.14,800.0,120,EPF,2012-07-17,european masters powerlifting championships
harald paul,126.17,620.0,120+,EPF,2016-07-12,european masters powerlifting championships
hari singh cheema,72.97,525.0,74,IPF,2016-10-03,world masters championships
harri hagfors,102.4,757.5,105,EPF,2012-07-17,european masters powerlifting championships
harri hagfors,105.03,777.5,120,IPF,2013-09-24,world masters powerlifting championships
harri hagfors,92.63,715.0,93,EPF,2014-07-08,european masters powerlifting championships
harri olak,73.5,715.0,74,EPF,2015-04-07,european sub-junior & junior powerlifting championships
harri olak,82.55,815.0,83,IPF,2024-11-11,world open equipped powerlifting championships
harry de lacey,72.8,660.0,74,IPF,2016-09-03,world sub-juniors & juniors powerlifting championships
harry heyman,121.52,235.0,120+,IPF,2015-09-28,world masters powerlifting championships
hasan al-shumoos,90.7,670.0,93,IPF,2021-08-23,world juniors sub-juniors & masters championships
hasecic vladan,98.8,695.0,105,IPF,2021-08-23,world juniors sub-juniors & masters championships
hassan el belghiti,65.27,783.5,66,IPF,2022-11-14,world open equipped powerlifting championships
hassan el belghiti,72.24,800.5,74,EPF,2013-05-07,european open powerlifting championships
hayden lee #1,115.6,855.0,120,IPF,2017-08-28,world sub-juniors & juniors powerlifting championships
hector willcocks,103.93,602.5,105,EPF,2024-05-07,european open junior and sub-junior equipped powerlifting championships
heikki malkavaara,79.76,410.0,83,IPF,2011-09-26,world masters powerlifting championships
heimo törmä,70.94,492.5,74,IPF,2011-09-26,world masters powerlifting championships
heino maiste,73.7,535.0,74,IPF,2012-10-02,world masters powerlifting championships
heino maiste,75.05,415.0,83,IPF,2021-08-23,world juniors sub-juniors & masters championships
henning groen thorsen,121.84,495.0,120+,EPF,2023-07-05,european equipped masters powerlifting championships
henri hakonen,104.6,697.5,105,IPF,2013-08-27,world juniors & sub-juniors championships
henri hakonen,91.4,600.0,93,IPF,2012-08-28,world sub-juniors & juniors powerlifting championships
henrik fransson,82.7,875.0,83,IPF,2014-09-01,world sub-juniors & juniors powerlifting championships
