Name,BodyweightKg,TotalKg,WeightClassKg,Federation,Date,MeetName
edoardo mazzucchielli,82.65,793.0,83,EPF,2022-11-25,european classic powerlifting championships
eino järvisalo,104.54,795.0,105,IPF,2021-09-23,world classic powerlifting championships
eli burks,102.95,855.0,105,IPF,2019-06-04,world classic powerlifting championships
eliam tchandeu noundou,104.6,855.5,105,IPF,2024-07-23,fisu world university powerlifting championships
elias de buck,81.3,732.5,83,IPF,2023-06-11,world classic powerlifting championships
elias hanken fiskerstrand,82.42,735.0,83,EPF,2024-10-05,european classic sub-junior and junior powerlifting championships
elias kenneryd,119.6,833.0,120,IPF,2024-07-23,fisu world university powerlifting championships
eligijus greviškis,91.27,760.0,93,EPF,2022-11-25,european classic powerlifting championships
elliott sykes,72.7,766.0,74,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
emil gustafsson,119.88,860.0,120,IPF,2021-09-23,world classic powerlifting championships
emil johansson,104.1,802.5,105,EPF,2023-10-10,european junior and sub-junior classic powerlifting championships
emil johansson,92.72,762.5,93,EPF,2017-03-12,european classic powerlifting championships
emil krastev,92.75,895.0,93,IPF,2024-06-15,world classic powerlifting championships
emil norling,104.8,917.5,105,EPF,2021-12-03,european classic powerlifting championships
emilio cotti cometti,82.85,780.0,83,EPF,2021-12-03,european classic powerlifting championships
enahoro asein,82.4,812.5,83,EPF,2023-12-04,european open classic powerlifting championships
enrique lugo,119.8,910.0,120,IPF,2022-06-06,world classic powerlifting championships
eric smulders,65.25,612.5,66,IPF,2022-06-06,world classic powerlifting championships
erik karlsson #1,82.2,774.0,83,IPF,2019-06-04,world classic powerlifting championships
erik mata,104.61,820.0,105,EPF,2023-12-04,european open classic powerlifting championships
erik mata,92.84,770.0,93,IPF,2021-09-23,world classic powerlifting championships
erik willis,118.85,900.0,120,IPF,2018-06-06,world classic powerlifting championships
ernst gross,104.85,840.0,105,IPF,2019-06-04,world classic powerlifting championships
etienne el chaer,119.1,958.5,120,IPF,2024-06-15,world classic powerlifting championships
etienne lited,58.48,565.0,59,IPF,2015-06-05,world classic powerlifting championships
evgeniy mukhomedyanov,58.52,570.0,59,IPF,2018-06-06,world classic powerlifting championships
fares sboui,104.5,852.5,105,IPF,2023-08-27,world junior and sub-junior classic championships
fatah toubal,81.6,797.5,83,IPF,2019-06-04,world classic powerlifting championships
federico murru,65.9,635.0,66,EPF,2024-03-12,european open classic powerlifting championships
filip lindström,104.1,817.5,105,EPF,2018-11-24,european classic powerlifting championships
filip prokeš,65.55,600.0,66,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
francois maritz,118.65,865.0,120,IPF,2022-06-06,world classic powerlifting championships
frank zou,65.9,612.5,66,IPF,2016-07-11,world university powerlifting cup
franklin león,59.0,602.5,59,IPF,2019-06-04,world classic powerlifting championships
frederik danmark sinkbaek,114.84,827.5,120,EPF,2023-10-10,european junior and sub-junior classic powerlifting championships
friedrich von hennig,104.61,795.0,105,EPF,2023-12-04,european open classic powerlifting championships
friedrich von hennig,118.74,832.5,120,IPF,2021-09-23,world classic powerlifting championships
gabriele bellomo,82.85,800.0,83,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
garrett blevins,104.04,871.0,105,IPF,2018-06-06,world classic powerlifting championships
gavin adin,92.92,887.0,93,IPF,2024-02-10,sheffield powerlifting championships
geir øyvind thorsen,104.5,807.5,105,EPF,2023-09-08,western european powerlifting championships
gil pinheiro,92.36,760.0,93,EPF,2014-09-26,arnold's europe powerlifting championships
glenn kofman,118.15,827.5,120,EPF,2023-09-08,western european powerlifting championships
guillaume jean marie flore,92.54,797.5,93,IPF,2024-07-23,fisu world university powerlifting championships
guillaume parisot,82.68,780.5,83,IPF,2023-10-31,world university powerlifting cup
guillermo gonzález lópez,91.2,757.5,93,EPF,2023-12-04,european open classic powerlifting championships
gustav hedlund,92.5,895.0,93,IPF,2024-06-15,world classic powerlifting championships
hamza bham,82.85,732.5,83,IPF,2022-10-31,world university powerlifting cup
hamza demir,104.9,836.5,105,IPF,2023-08-27,world junior and sub-junior classic championships
hassan el belghiti,65.61,655.0,66,IPF,2018-06-06,world classic powerlifting championships
heath graham,104.55,812.5,105,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
hendrick famutimi,91.65,770.0,93,IPF,2019-06-04,world classic powerlifting championships
igor makovetskyi,103.38,810.0,105,IPF,2017-06-14,world classic powerlifting championships
ilay benita,82.6,727.5,83,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
ilya marichev,58.65,588.5,59,EPF,2019-11-29,european classic powerlifting championships
ilya marichev,65.75,680.0,66,EPF,2021-12-03,european classic powerlifting championships
ilyes bentalha,92.0,777.5,93,IPF,2024-06-15,world classic powerlifting championships
imad hamich,104.68,820.0,105,EPF,2024-10-05,european classic sub-junior and junior powerlifting championships
