Name,BodyweightKg,TotalKg,WeightClassKg,Federation,Date,MeetName
monica de la torre,51.95,412.5,52,IPF,2024-06-15,world classic powerlifting championships
monique boddie,126.9,617.5,84+,IPF,2024-06-15,world classic powerlifting championships
nataleigh hunter,61.1,493.0,63,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
natalie laalaai,139.85,658.0,84+,IPF,2024-06-15,world classic powerlifting championships
natalie richards #1,56.36,516.5,57,IPF,2024-02-10,sheffield powerlifting championships
nicola paviglianiti,56.4,455.0,57,IPF,2024-06-15,world classic powerlifting championships
noemi fanton,68.8,512.5,69,IPF,2024-06-15,world classic powerlifting championships
noémie allabert,46.7,375.0,47,IPF,2019-06-04,world classic powerlifting championships
noémie allabert,51.9,454.0,52,IPF,2023-03-25,sheffield powerlifting championships
océane regis,57.0,437.5,57,EPF,2022-09-09,western european powerlifting championships
olga golubeva,46.75,378.5,47,IPF,2012-06-12,world classic powerlifting cup
olga golubeva,51.44,425.0,52,EPF,2017-03-12,european classic powerlifting championships
pantea supanetz,62.35,472.5,63,IPF,2022-06-06,world classic powerlifting championships
pleun dekkers,51.65,443.0,52,IPF,2024-06-15,world classic powerlifting championships
prescillia bavoil,62.6,556.5,63,IPF,2022-09-23,arnold sports festival
prescillia bavoil,66.46,585.0,69,IPF,2024-02-10,sheffield powerlifting championships
ramunė vainauskytė,67.12,507.5,69,EPF,2022-11-25,european classic powerlifting championships
sahyuri lalime,63.0,470.0,63,IPF,2024-06-15,world classic powerlifting championships
samantha calhoun,62.9,492.5,63,IPF,2019-06-04,world classic powerlifting championships
samantha eugenie,62.7,493.5,63,IPF,2022-08-31,world junior classic powerlifting championships
samantha eugenie,66.64,527.5,69,IPF,2023-08-27,world junior and sub-junior classic championships
sami depass,74.9,567.5,76,IPF,2024-06-15,world classic powerlifting championships
sara mazzantini,68.48,515.0,69,IPF,2021-09-23,world classic powerlifting championships
sara naldi,62.45,537.5,63,IPF,2024-06-15,world classic powerlifting championships
sara naldi,66.25,505.0,69,IPF,2023-06-11,world classic powerlifting championships
sara sanchez-m ruiz,75.4,537.5,76,IPF,2024-06-15,world classic powerlifting championships
sara sanchez-manjavacas ruiz,75.95,532.5,76,EPF,2023-12-04,european open classic powerlifting championships
sarah klein #1,51.21,415.0,52,EPF,2023-12-04,european open classic powerlifting championships
schae zarew,62.25,482.5,63,IPF,2023-06-11,world classic powerlifting championships
shizuka rico,51.45,422.5,52,IPF,2022-06-06,world classic powerlifting championships
simone lai,46.24,372.5,47,IPF,2021-09-23,world classic powerlifting championships
sofia loft,51.74,417.5,52,IPF,2016-06-19,world classic powerlifting championships
sonita muluh,128.95,731.0,84+,IPF,2024-06-15,world classic powerlifting championships
sophia ellis,74.77,548.0,76,EPF,2023-12-04,european open classic powerlifting championships
sovannphaktra pal,56.3,480.0,57,IPF,2024-06-15,world classic powerlifting championships
stef kean,51.2,422.5,52,IPF,2022-06-06,world classic powerlifting championships
stina åkemalm,46.04,372.5,47,IPF,2017-06-14,world classic powerlifting championships
tasmin campbell,68.4,537.5,69,IPF,2024-06-15,world classic powerlifting championships
temitope nuga,82.6,555.0,84,IPF,2023-06-11,world classic powerlifting championships
teresa yeung,55.95,437.5,57,IPF,2019-06-04,world classic powerlifting championships
tiffany chapon,46.8,433.0,47,IPF,2024-06-15,world classic powerlifting championships
tiffany chapon,47.05,425.0,52,IPF,2022-09-23,arnold sports festival
veronika broner,46.8,372.5,47,IPF,2021-09-23,world classic powerlifting championships
vicky kijumnuayporn,46.85,400.0,47,IPF,2023-06-11,world classic powerlifting championships
vilma olsson,73.37,527.5,76,EPF,2022-11-25,european classic powerlifting championships
wei-ling chen,46.56,407.5,47,IPF,2015-06-05,world classic powerlifting championships
ziana azariah,83.8,592.5,84,IPF,2024-06-15,world classic powerlifting championships
